;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202301;Enero de 2023;1;Andalucía;4;Almería;04076;Purchena;19;<5;<5;0;<5;12;0;5;0;<5;12
202301;Enero de 2023;1;Andalucía;4;Almería;04077;Rágol;<5;0;<5;0;0;0;0;<5;0;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04078;Rioja;19;5;<5;0;<5;8;<5;<5;0;<5;15
202301;Enero de 2023;1;Andalucía;4;Almería;04079;Roquetas de Mar;1351;580;173;47;273;250;28;296;24;178;853
202301;Enero de 2023;1;Andalucía;4;Almería;04080;Santa Cruz de Marchena;0;0;0;0;0;0;0;0;0;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04081;Santa Fe de Mondújar;7;<5;<5;0;<5;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04082;Senés;6;0;<5;0;0;5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04083;Serón;40;14;7;0;6;11;<5;<5;<5;16;20
202301;Enero de 2023;1;Andalucía;4;Almería;04084;Sierro;<5;<5;0;0;0;0;0;0;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04085;Somontín;<5;0;0;0;0;<5;0;<5;0;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04086;Sorbas;35;12;8;<5;0;14;0;6;0;5;24
202301;Enero de 2023;1;Andalucía;4;Almería;04087;Suflí;0;0;0;0;0;0;0;0;0;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04088;Tabernas;71;25;12;0;6;26;<5;21;<5;14;35
202301;Enero de 2023;1;Andalucía;4;Almería;04089;Taberno;77;0;29;<5;<5;45;0;<5;65;0;9
202301;Enero de 2023;1;Andalucía;4;Almería;04090;Tahal;8;7;0;0;<5;0;0;<5;<5;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04091;Terque;13;<5;<5;0;0;9;0;5;0;0;8
202301;Enero de 2023;1;Andalucía;4;Almería;04092;Tíjola;54;18;11;<5;<5;19;0;10;<5;5;35
202301;Enero de 2023;1;Andalucía;4;Almería;04093;Turre;33;<5;17;<5;<5;7;<5;11;0;6;16
202301;Enero de 2023;1;Andalucía;4;Almería;04094;Turrillas;8;0;5;0;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04095;Uleila del Campo;24;5;11;0;<5;<5;0;11;<5;<5;11
202301;Enero de 2023;1;Andalucía;4;Almería;04096;Urrácal;7;0;<5;0;<5;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04097;Velefique;0;0;0;0;0;0;0;0;0;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04098;Vélez-Blanco;52;14;20;0;<5;17;0;14;0;0;38
202301;Enero de 2023;1;Andalucía;4;Almería;04099;Vélez-Rubio;86;14;26;0;16;29;<5;13;14;<5;58
202301;Enero de 2023;1;Andalucía;4;Almería;04100;Vera;381;135;89;21;62;61;13;53;6;45;277
202301;Enero de 2023;1;Andalucía;4;Almería;04101;Viator;202;71;50;8;9;52;12;5;9;37;151
202301;Enero de 2023;1;Andalucía;4;Almería;04102;Vícar;827;214;152;17;109;324;11;166;56;53;552
202301;Enero de 2023;1;Andalucía;4;Almería;04103;Zurgena;19;5;5;0;<5;7;0;<5;0;0;15
202301;Enero de 2023;1;Andalucía;4;Almería;04901;Tres Villas, Las;13;<5;7;0;0;5;0;0;0;0;13
202301;Enero de 2023;1;Andalucía;4;Almería;04902;Ejido, El;4339;1099;825;111;711;1491;102;1099;124;152;2964
202301;Enero de 2023;1;Andalucía;4;Almería;04903;Mojonera, La;497;134;64;12;105;168;14;228;<5;<5;262
202301;Enero de 2023;1;Andalucía;4;Almería;04904;Balanegra;28;16;6;<5;<5;<5;<5;22;0;<5;5
202301;Enero de 2023;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;141;19;89;<5;7;23;<5;81;6;7;47
202301;Enero de 2023;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;281;11;79;0;0;191;0;163;0;8;110
202301;Enero de 2023;1;Andalucía;11;Cádiz;11003;Algar;31;6;11;0;7;7;0;5;<5;<5;20
202301;Enero de 2023;1;Andalucía;11;Cádiz;11004;Algeciras;1579;325;537;73;209;393;42;9;63;171;1336
202301;Enero de 2023;1;Andalucía;11;Cádiz;11005;Algodonales;155;8;54;<5;9;80;<5;110;<5;6;38
202301;Enero de 2023;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;529;156;140;13;63;146;11;128;16;107;278
202301;Enero de 2023;1;Andalucía;11;Cádiz;11007;Barbate;201;51;51;5;35;56;<5;12;16;30;143
202301;Enero de 2023;1;Andalucía;11;Cádiz;11008;Barrios, Los;745;145;301;41;74;168;16;54;150;110;431
202301;Enero de 2023;1;Andalucía;11;Cádiz;11009;Benaocaz;16;<5;5;<5;<5;6;<5;0;7;<5;7
202301;Enero de 2023;1;Andalucía;11;Cádiz;11010;Bornos;73;14;30;<5;7;21;0;16;<5;21;32
202301;Enero de 2023;1;Andalucía;11;Cádiz;11011;Bosque, El;51;5;26;<5;<5;15;<5;0;10;10;31
202301;Enero de 2023;1;Andalucía;11;Cádiz;11012;Cádiz;3360;480;1264;119;390;1030;77;40;137;194;2989
202301;Enero de 2023;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;70;21;23;<5;12;11;<5;21;<5;15;33
202301;Enero de 2023;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;364;168;77;<5;63;46;7;6;<5;101;253
202301;Enero de 2023;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;1118;394;247;74;152;216;35;8;118;302;690
202301;Enero de 2023;1;Andalucía;11;Cádiz;11016;Chipiona;474;140;121;<5;77;128;5;93;10;87;284
202301;Enero de 2023;1;Andalucía;11;Cádiz;11017;Espera;99;20;38;0;5;35;<5;35;<5;32;29
202301;Enero de 2023;1;Andalucía;11;Cádiz;11018;Gastor, El;22;5;<5;0;<5;12;0;7;<5;<5;11
202301;Enero de 2023;1;Andalucía;11;Cádiz;11019;Grazalema;51;<5;26;<5;<5;17;<5;<5;<5;<5;43
202301;Enero de 2023;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;5447;1021;2010;125;535;1640;116;669;378;506;3894
202301;Enero de 2023;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;235;82;73;<5;24;52;0;113;<5;19;101
202301;Enero de 2023;1;Andalucía;11;Cádiz;11022;Línea de la Concepción, La;656;133;114;14;88;279;28;<5;15;27;610
202301;Enero de 2023;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;165;29;40;0;21;71;<5;12;8;17;128
202301;Enero de 2023;1;Andalucía;11;Cádiz;11024;Olvera;166;22;69;<5;6;65;<5;103;11;11;41
202301;Enero de 2023;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;40;17;<5;0;7;11;<5;<5;<5;13;25
202301;Enero de 2023;1;Andalucía;11;Cádiz;11026;Prado del Rey;74;<5;31;0;<5;37;<5;17;14;5;38
202301;Enero de 2023;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;1584;370;462;51;206;461;34;83;104;162;1235
202301;Enero de 2023;1;Andalucía;11;Cádiz;11028;Puerto Real;740;175;319;41;56;132;17;17;198;89;436
202301;Enero de 2023;1;Andalucía;11;Cádiz;11029;Puerto Serrano;100;32;20;0;11;37;0;18;<5;35;44
202301;Enero de 2023;1;Andalucía;11;Cádiz;11030;Rota;489;153;124;18;68;117;9;49;23;117;300
202301;Enero de 2023;1;Andalucía;11;Cádiz;11031;San Fernando;989;234;225;30;132;333;35;6;93;128;762
202301;Enero de 2023;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;1421;349;404;28;209;396;35;570;35;186;630
202301;Enero de 2023;1;Andalucía;11;Cádiz;11033;San Roque;633;221;191;22;70;116;13;13;139;140;341
202301;Enero de 2023;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;87;6;31;0;<5;46;<5;48;<5;6;30
202301;Enero de 2023;1;Andalucía;11;Cádiz;11035;Tarifa;260;78;53;12;60;54;<5;9;10;50;191
202301;Enero de 2023;1;Andalucía;11;Cádiz;11036;Torre Alháquime;26;5;<5;0;<5;17;0;24;0;0;<5
202301;Enero de 2023;1;Andalucía;11;Cádiz;11037;Trebujena;137;12;53;<5;5;62;<5;51;<5;6;79
202301;Enero de 2023;1;Andalucía;11;Cádiz;11038;Ubrique;582;56;160;40;50;227;49;13;399;14;156
202301;Enero de 2023;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;216;98;40;<5;40;34;<5;50;9;19;138
202301;Enero de 2023;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;11;<5;<5;0;0;<5;0;5;0;0;6
202301;Enero de 2023;1;Andalucía;11;Cádiz;11041;Villamartín;401;64;145;7;40;142;<5;153;30;33;185
